Year,Month,Weekday,Site,ED Enc,ED Enc Admitted
2024,8.4,2,C,120,35
2023,4.033333333333333,7,C,84,19
2024,3.9333333333333336,5,A,115,33
2025,2.0,5,D,78,18
2018,6.266666666666667,6,D,76,10
2022,11.8,5,A,144,49
2021,9.533333333333333,5,C,91,20
2023,8.4,7,B,176,47
2021,11.966666666666667,2,C,105,38
2022,12.433333333333334,3,B,146,35
2024,11.466666666666667,5,B,175,52
2019,1.0,2,A,108,27
2023,7.266666666666667,7,B,207,47
2018,6.533333333333333,7,C,93,27
2021,7.566666666666666,7,B,197,32
2019,3.8666666666666667,3,D,63,10
2024,5.833333333333333,7,B,176,40
2025,6.433333333333334,6,D,72,12
2022,1.6333333333333333,4,B,150,47
2020,10.033333333333333,5,A,121,46
2020,11.4,5,B,162,31
2018,9.166666666666666,4,D,64,11
2018,11.6,1,B,146,41
2025,2.533333333333333,1,A,118,43
2019,12.833333333333334,4,C,103,33
2025,6.566666666666666,3,D,82,17
2023,7.666666666666667,5,D,74,9
2022,5.933333333333334,7,B,202,52
2023,10.966666666666667,1,C,95,26
2018,11.433333333333334,3,A,113,37
2024,4.866666666666667,6,A,112,38
2020,1.6,7,D,73,14
2024,4.2,7,B,179,51
2025,2.066666666666667,1,A,128,55
2023,1.4,5,A,116,43
2018,8.633333333333333,1,A,130,30
2018,5.966666666666667,3,B,164,42
2019,4.566666666666666,4,A,119,24
2024,7.433333333333334,7,C,121,36
2021,5.733333333333333,7,B,168,39
2025,4.566666666666666,5,B,176,42
2021,3.7,1,A,111,36
2021,4.966666666666667,5,B,155,41
2021,2.533333333333333,3,C,80,32
2021,9.0,2,C,106,33
2019,10.366666666666667,6,C,71,21
2018,12.666666666666666,5,B,164,42
2023,7.266666666666667,7,C,96,34
2022,6.866666666666667,1,A,149,43
2018,10.8,4,B,129,35
2019,3.4,3,A,111,31
2025,6.733333333333333,1,A,141,59
2018,12.866666666666667,4,D,51,15
2025,8.0,4,A,115,38
2025,5.333333333333333,7,D,81,14
2018,1.3,3,C,69,25
2023,9.466666666666667,5,C,97,35
2023,6.4,2,B,176,53
2019,3.466666666666667,5,D,63,12
2020,11.233333333333333,7,C,108,30
2022,3.9,1,D,72,15
2021,4.9,3,B,167,49
2024,1.9,7,D,69,14
2023,11.866666666666667,1,A,138,56
2018,8.133333333333333,7,B,172,42
2025,5.133333333333334,1,C,118,29
2018,1.0666666666666667,3,A,120,42
2023,12.566666666666666,1,B,188,51
2024,4.733333333333333,2,A,130,42
2018,11.7,4,C,70,25
2020,4.933333333333334,3,C,59,15
2018,8.766666666666666,5,A,123,31
2022,12.266666666666667,5,B,172,46
2025,6.0,6,D,81,13
2023,9.133333333333333,2,A,135,43
2025,8.8,1,A,145,52
2021,2.8,4,D,83,17
2024,5.333333333333333,6,B,190,47
2024,6.533333333333333,1,B,202,50
2018,8.5,4,D,73,15
2020,3.066666666666667,2,B,149,47
2022,12.333333333333334,7,C,114,26
2024,2.1,7,C,102,30
2018,7.2,6,D,91,12
2025,4.933333333333334,2,B,184,41
2021,11.966666666666667,2,A,137,33
2019,11.066666666666666,7,B,193,46
2024,6.133333333333334,3,B,185,58
2018,7.266666666666667,1,A,116,45
2025,5.633333333333333,2,D,64,15
2019,10.4,7,B,178,32
2023,6.8,7,B,191,48
2023,10.1,3,B,148,49
2020,9.066666666666666,4,A,106,31
2021,6.5,3,C,96,32
2020,4.833333333333333,7,D,57,9
2018,3.466666666666667,4,B,136,35
2022,5.6,4,A,129,45
2023,8.6,6,D,87,14
2020,2.066666666666667,1,B,159,42
2020,11.866666666666667,5,B,129,36
2018,6.166666666666667,3,C,80,27
2024,4.0,7,B,180,53
2024,11.9,4,A,101,37
2022,4.766666666666667,7,B,150,37
2018,4.8,3,A,130,37
2021,6.133333333333334,6,A,151,39
2021,6.433333333333334,1,D,78,14
2020,3.4,5,D,67,16
2023,6.266666666666667,5,A,103,28
2024,1.1666666666666667,6,A,123,38
2020,6.033333333333333,2,C,78,24
2020,8.966666666666667,7,C,98,26
2018,3.5,5,B,153,36
2019,9.733333333333333,1,D,89,11
2019,3.2666666666666666,6,C,75,22
2022,2.6666666666666665,1,A,120,35
2021,2.2333333333333334,1,B,135,46
2018,5.566666666666666,5,D,80,14
2018,4.466666666666667,7,D,77,11
2021,2.8333333333333335,5,D,68,14
2018,6.433333333333334,4,D,56,11
2022,11.566666666666666,5,A,121,44
2023,4.266666666666667,7,A,110,29
2021,6.733333333333333,3,B,165,44
2024,10.033333333333333,3,B,171,50
2022,12.7,4,C,85,26
2019,10.066666666666666,4,D,71,14
2022,3.5666666666666664,5,C,115,33
2023,5.866666666666667,6,B,157,27
2023,6.2,3,C,123,35
2024,4.333333333333333,4,B,169,46
2019,7.766666666666667,3,C,83,27
2018,8.866666666666667,1,A,130,42
2020,5.233333333333333,5,D,56,8
2025,2.7333333333333334,7,D,76,14
2022,8.666666666666666,7,A,123,39
2018,11.4,2,C,85,30
2018,5.5,3,C,93,21
2020,10.733333333333333,5,C,85,24
2018,6.233333333333333,5,D,61,13
2019,6.166666666666667,4,C,81,28
2018,12.9,5,D,73,13
2018,10.1,4,D,57,11
2021,4.2,3,B,171,52
2020,5.433333333333334,4,B,152,40
2023,4.8,2,B,174,47
2024,10.5,3,A,145,45
2019,9.033333333333333,1,C,99,29
2018,12.633333333333333,4,B,165,41
2020,4.1,6,C,53,13
2022,5.133333333333334,4,C,108,32
2018,2.3,6,A,119,30
2022,12.666666666666666,3,C,91,25
2021,6.5,3,B,185,45
2019,10.833333333333334,6,D,69,9
2022,4.1,1,D,66,11
2020,9.5,3,C,75,24
2024,3.1,1,D,77,4
2020,6.4,6,A,104,35
2021,7.366666666666666,1,B,175,48
2019,7.2,7,C,90,32
2022,1.4333333333333333,5,A,106,37
2023,6.6,1,B,184,58
2023,2.3333333333333335,6,C,110,31
2019,10.933333333333334,2,A,116,38
2020,7.8,6,B,161,54
2018,7.966666666666667,1,C,87,26
2023,1.1,3,B,157,39
2018,5.833333333333333,6,B,155,26
2023,7.1,2,D,73,7
2022,12.266666666666667,5,A,109,30
2018,6.0,5,C,85,24
2021,3.8,4,D,62,9
2024,2.3666666666666667,1,A,132,38
2022,10.0,6,C,100,23
2023,3.6333333333333333,1,B,209,60
2018,6.766666666666667,7,A,118,40
2020,7.3,5,C,79,30
2025,3.6666666666666665,5,B,154,48
2019,9.433333333333334,6,A,138,39
2019,2.3333333333333335,1,C,84,31
2025,4.733333333333333,3,C,99,19
2022,6.966666666666667,4,D,82,10
2024,4.3,3,B,184,53
2022,4.8,1,B,181,45
2024,7.566666666666666,4,B,164,50
2018,6.2,4,D,69,13
2020,2.6,3,D,62,11
2025,4.6,6,D,66,10
2025,2.1,2,B,170,52
2019,2.033333333333333,6,A,126,38
2021,7.233333333333333,4,D,76,5
2022,9.033333333333333,5,B,186,45
2020,5.7,5,A,83,24
2020,5.766666666666667,7,C,88,21
2018,10.366666666666667,5,D,69,9
2018,5.133333333333334,6,B,153,32
2023,2.2,2,B,188,57
2018,10.5,2,B,156,41
2021,12.4,1,D,82,11
2021,5.266666666666667,7,C,96,28
2023,12.9,4,C,119,36
2019,2.8,1,A,145,36
2025,8.733333333333333,6,A,150,42
2022,7.466666666666667,5,A,137,51
2023,3.1,6,A,119,30
2022,1.2333333333333334,6,B,152,42
2023,12.6,2,C,120,36
2019,5.3,5,B,125,30
2024,2.3,6,D,67,10
2020,1.7666666666666666,5,C,95,23
2018,5.633333333333333,7,C,118,42
2024,5.033333333333333,4,B,183,43
2024,8.333333333333334,7,C,100,28
2020,10.7,4,B,140,37
2022,12.8,7,D,59,6
2022,4.766666666666667,7,A,107,24
2022,9.933333333333334,4,B,185,58
2022,2.7666666666666666,4,B,161,40
2020,12.8,5,B,146,37
2024,3.966666666666667,6,B,170,41
2021,12.266666666666667,4,B,155,44
2023,10.6,4,A,126,41
2024,6.633333333333333,4,B,168,50
2018,12.2,5,A,104,49
2023,10.6,4,B,172,51
2025,7.0,2,D,75,18
2021,8.333333333333334,3,C,102,30
2024,8.7,4,C,90,25
2020,4.0,2,B,102,33
2018,4.0,7,C,77,18
2021,5.833333333333333,3,A,104,33
2021,4.733333333333333,5,B,149,38
2022,1.6333333333333333,4,D,68,13
2024,11.8,1,C,107,34
2020,5.3,7,C,56,18
2022,10.333333333333334,2,B,189,49
2021,8.466666666666667,7,D,77,12
2021,3.7333333333333334,2,A,122,57
2019,3.3,7,B,135,38
2023,3.2666666666666666,4,C,96,34
2025,7.433333333333334,1,D,88,15
2022,12.6,1,C,116,40
2022,1.6666666666666665,5,A,118,41
2021,10.866666666666667,3,B,181,45
2022,11.066666666666666,4,C,97,22
2023,7.133333333333334,3,B,166,50
2018,6.2,4,C,77,28
2021,1.4,3,C,75,18
2020,11.733333333333333,1,B,137,27
2019,1.8,5,A,135,45
2020,8.3,1,B,172,38
2020,2.5,7,B,185,39
2023,6.8,7,A,107,33
2018,5.733333333333333,3,D,82,12
2020,7.333333333333333,6,B,158,34
2024,8.6,1,D,67,8
2023,12.366666666666667,2,B,196,33
2022,2.4333333333333336,1,A,128,42
2024,9.866666666666667,5,B,157,40
2018,6.866666666666667,3,C,101,43
2021,3.2,7,A,103,34
2022,5.2,6,C,114,26
2019,6.8,2,A,165,45
2023,12.1,1,C,98,28
2021,3.466666666666667,1,D,61,13
2024,5.333333333333333,6,A,111,29
2023,11.233333333333333,3,D,65,17
2025,8.0,4,C,125,40
2019,3.2,4,A,125,29
2018,7.933333333333334,7,A,132,31
2025,2.6333333333333333,4,A,105,34
2025,5.866666666666667,2,A,129,31
2019,12.466666666666667,7,D,49,10
2021,10.433333333333334,4,B,178,47
2023,10.966666666666667,1,B,167,50
2018,4.566666666666666,3,A,108,26
2025,8.733333333333333,6,D,72,11
2018,9.8,2,B,133,23
2018,1.1666666666666667,6,A,132,28
2024,9.633333333333333,5,C,103,27
2021,9.3,5,B,158,47
2019,9.5,1,B,159,29
2019,2.1666666666666665,3,D,77,18
2022,5.4,5,A,113,38
2019,8.866666666666667,2,D,76,13
2020,3.8666666666666667,5,A,73,12
2024,12.4,5,B,178,52
2024,12.666666666666666,6,B,190,44
2022,12.233333333333333,4,A,118,35
2019,9.533333333333333,2,B,154,40
2019,3.2,4,C,87,22
2022,9.433333333333334,3,C,98,32
2024,4.133333333333334,5,A,128,45
2024,4.866666666666667,6,D,78,19
2021,7.766666666666667,6,B,168,43
2019,4.433333333333334,7,D,52,10
2018,2.9,3,B,152,51
2022,6.466666666666667,3,D,78,15
2023,2.4,1,B,171,39
2018,7.9,6,C,84,22
2019,5.8,6,B,148,38
2023,2.5666666666666664,6,C,104,31
2025,8.966666666666667,6,A,121,30
2025,8.9,4,C,122,38
2018,11.633333333333333,2,B,137,28
2024,6.866666666666667,4,D,75,9
2018,1.4,6,B,161,31
2020,1.0,3,D,87,12
2018,10.533333333333333,3,A,122,35
2019,6.466666666666667,6,A,116,34
2022,8.133333333333333,5,C,85,24
2023,2.0,3,A,107,40
2024,9.4,5,A,141,50
2019,5.266666666666667,4,B,132,38
2018,4.733333333333333,1,B,175,40
2019,9.3,2,B,150,43
2021,6.166666666666667,7,B,178,40
2018,4.233333333333333,7,D,74,14
2018,4.633333333333333,5,D,83,18
2020,2.5,7,D,71,17
2022,9.866666666666667,2,D,76,11
2022,6.2,2,A,126,43
2020,4.833333333333333,7,B,112,25
2024,6.3,1,D,77,14
2018,3.5,5,A,92,30
2022,8.0,1,C,109,32
2019,8.2,3,A,133,47
2021,7.166666666666667,2,D,93,17
2021,10.9,4,D,83,16
2021,11.033333333333333,2,D,75,11
2025,5.0,4,B,156,36
2022,4.6,2,D,80,19
2025,6.6,4,A,123,31
2024,3.8,1,C,112,38
2023,10.366666666666667,4,A,121,44
2025,4.933333333333334,2,A,122,43
2022,6.066666666666666,5,D,81,15
2021,10.766666666666666,7,D,64,12
2024,4.533333333333333,3,C,97,35
2024,3.033333333333333,6,A,129,30
2024,11.033333333333333,6,A,96,26
2018,3.6333333333333333,2,B,163,46
2022,6.566666666666666,6,B,174,38
2024,2.7,4,B,174,51
2025,8.4,3,D,84,10
2025,1.4666666666666668,3,D,64,15
2022,10.6,3,A,138,51
2023,1.5,1,A,108,41
2018,8.066666666666666,5,A,123,44
2025,5.533333333333333,6,A,99,30
2024,1.9,7,A,117,36
2020,8.366666666666667,3,A,102,41
2018,6.1,1,C,91,35
2020,9.9,1,C,97,18
2025,4.233333333333333,2,A,143,44
2023,13.0,7,D,89,21
2025,6.5,1,A,129,43
2025,7.9,1,D,95,23
2019,12.166666666666666,5,D,85,16
2024,9.3,2,C,113,32
2023,1.3666666666666667,4,A,136,46
2023,7.333333333333333,2,B,181,37
2022,7.466666666666667,5,B,168,46
2024,7.3,3,C,95,26
2023,11.466666666666667,3,D,68,11
2018,1.7,1,D,82,10
2025,7.4,7,D,80,10
2021,1.7333333333333334,6,A,105,37
2025,5.166666666666667,2,A,131,48
2021,7.2,3,C,93,42
2021,11.233333333333333,1,D,88,9
2019,12.433333333333334,6,C,74,18
2019,10.4,7,D,69,12
2024,2.8,7,C,99,21
2022,2.6,6,A,118,24
2022,10.766666666666666,1,A,144,40
2023,9.066666666666666,7,A,154,42
2021,8.766666666666666,2,D,85,13
2021,5.966666666666667,7,C,87,29
2024,11.466666666666667,5,D,71,8
2020,9.133333333333333,6,C,75,25
2022,9.3,6,C,110,26
2025,8.5,6,A,130,43
2021,12.333333333333334,6,D,66,12
2021,9.733333333333333,4,D,88,10
2021,1.1333333333333333,2,D,47,11
2020,1.0,3,A,151,35
2021,7.2,3,A,124,35
2022,5.3,2,B,162,41
2023,4.766666666666667,1,C,101,34
2020,6.666666666666667,7,C,89,30
2023,2.1666666666666665,1,D,69,14
2018,7.866666666666667,5,D,79,14
2019,4.9,7,C,93,25
2024,9.6,4,A,156,46
2025,1.7,3,D,70,15
2025,8.233333333333333,5,B,171,51
2023,1.3,2,B,161,47
2018,2.5,5,C,75,25
2023,2.8,6,D,56,7
2022,2.533333333333333,4,A,136,32
2024,12.866666666666667,5,B,205,47
2024,5.966666666666667,4,C,108,40
2019,6.7,6,D,64,8
2018,1.2,7,B,196,36
2019,10.166666666666666,7,B,177,43
2022,2.8333333333333335,6,D,63,11
2020,8.566666666666666,2,B,156,44
2019,1.4333333333333333,1,D,67,13
2025,8.366666666666667,2,C,110,40
2020,3.6,4,A,87,20
2025,2.2,5,A,128,38
2024,7.533333333333333,3,B,194,51
2021,3.9,7,B,151,36
2019,11.666666666666666,4,D,62,11
2023,7.433333333333334,5,D,79,13
2024,4.0,7,D,62,9
2019,8.7,4,A,108,43
2024,3.3666666666666667,2,A,136,38
2024,1.4333333333333333,7,A,108,42
2018,4.366666666666666,4,C,80,26
2025,2.9,5,D,74,11
2020,3.4,5,C,65,18
2021,1.5,6,A,98,30
2023,4.766666666666667,1,B,185,50
2021,4.066666666666666,6,D,55,4
2020,7.933333333333334,3,D,87,12
2022,8.8,4,B,163,49
2019,4.933333333333334,1,A,125,33
2021,12.5,4,B,164,37
2020,3.3,2,C,97,28
2019,6.666666666666667,5,D,69,13
2019,5.933333333333334,3,B,179,42
2023,9.9,4,A,126,41
2021,2.1666666666666665,6,B,159,28
2020,5.333333333333333,1,C,70,26
2018,7.266666666666667,1,D,87,23
2024,7.466666666666667,1,C,123,38
2019,3.9,4,D,76,17
2020,7.6,7,C,101,23
2018,3.9333333333333336,4,D,70,14
2024,6.933333333333334,6,B,150,56
2020,5.566666666666666,1,C,90,39
2019,2.4,3,C,100,25
2018,10.566666666666666,4,D,63,4
2022,1.9666666666666668,7,D,59,9
2024,10.066666666666666,4,C,105,34
2020,5.1,1,D,53,10
2020,11.933333333333334,7,A,94,27
2023,12.166666666666666,3,B,195,50
2023,3.6666666666666665,2,A,131,43
2024,5.433333333333334,2,A,131,41
2024,6.833333333333333,3,D,66,8
2025,2.6,3,D,52,6
2019,6.233333333333333,6,A,144,38
2019,3.8666666666666667,3,A,141,34
2018,10.466666666666667,1,C,74,25
2023,5.9,7,C,113,34
2021,9.033333333333333,4,D,59,14
2021,12.533333333333333,5,B,158,43
2021,6.266666666666667,3,C,102,37
2020,8.7,6,B,176,42
2025,6.366666666666666,4,D,72,10
2019,2.7666666666666666,7,C,103,37
2018,4.833333333333333,4,A,110,26
2019,3.033333333333333,6,A,131,36
2022,5.033333333333333,1,C,111,41
2022,11.066666666666666,4,A,132,38
2024,7.933333333333334,1,C,106,36
2025,3.3333333333333335,2,C,102,38
2022,5.333333333333333,3,C,121,41
2025,5.933333333333334,4,B,161,41
2022,9.433333333333334,3,A,147,49
2018,3.1333333333333333,1,B,141,33
2023,11.333333333333334,6,B,202,44
2024,4.6,5,B,162,42
2018,1.1666666666666667,6,C,92,33
2020,11.966666666666667,1,D,57,11
2018,9.766666666666666,1,A,124,39
2020,12.766666666666666,4,D,48,14
2021,11.466666666666667,1,A,144,41
2021,2.2666666666666666,2,A,104,39
2021,9.8,6,B,171,35
2022,4.033333333333333,6,D,75,17
2021,5.433333333333334,5,D,81,10
2020,9.366666666666667,6,C,87,24
2025,8.933333333333334,5,B,206,63
2022,1.4,4,B,178,37
2021,10.366666666666667,2,B,163,39
2023,3.4333333333333336,2,B,164,41
2025,8.0,5,B,167,44
2021,4.566666666666666,7,C,105,32
2019,12.333333333333334,3,D,78,12
2025,6.6,4,D,66,19
2023,7.633333333333333,4,D,80,18
2020,5.4,3,C,77,21
2018,12.933333333333334,6,A,126,45
2020,8.366666666666667,3,C,69,23
2020,11.1,3,B,153,34
2018,9.133333333333333,3,D,76,13
2024,3.7333333333333334,6,A,96,33
2020,1.5666666666666667,6,D,64,9
2019,7.833333333333333,5,C,98,34
2020,8.933333333333334,6,C,93,25
2025,3.8333333333333335,3,C,106,30
2019,2.3666666666666667,2,A,112,36
2018,1.2666666666666666,2,D,68,15
2020,8.133333333333333,3,A,92,28
2022,3.3,4,A,100,45
2021,6.466666666666667,2,B,173,49
2018,5.366666666666666,6,D,74,14
2018,9.5,7,D,77,9
2020,9.2,1,D,67,14
2025,5.133333333333334,1,D,75,11
2022,4.9,4,B,162,42
2024,9.4,5,D,69,14
2018,12.6,3,B,152,33
2020,9.633333333333333,7,C,104,31
2025,4.6,6,C,103,29
2018,7.1,3,D,71,13
2025,4.666666666666667,1,D,86,17
2025,5.6,1,D,86,18
2018,8.566666666666666,6,A,117,32
2025,3.7333333333333334,7,B,190,43
2023,2.1,6,D,49,5
2025,2.4333333333333336,5,B,173,46
2022,2.5666666666666664,5,A,136,44
2021,9.166666666666666,1,A,155,39
2023,4.633333333333333,4,A,113,40
2022,3.7666666666666666,4,A,122,36
2020,7.266666666666667,4,D,74,14
2024,10.333333333333334,5,C,102,30
2021,1.4666666666666668,5,D,56,7
2021,12.4,1,C,93,31
2019,11.766666666666666,7,A,120,36
2020,1.7666666666666666,5,B,184,39
2020,10.966666666666667,5,D,79,15
2021,2.8333333333333335,5,B,139,45
2020,12.633333333333333,7,B,150,27
2020,7.1,6,D,85,11
2020,7.6,7,A,114,33
2024,5.5,4,C,116,46
2020,8.933333333333334,6,D,68,5
2020,1.6333333333333333,1,C,92,30
2022,12.4,2,A,129,38
2019,9.4,5,A,113,44
2021,2.8333333333333335,5,A,137,37
2021,6.2,1,A,129,34
2022,12.166666666666666,2,B,171,36
2018,12.133333333333333,3,C,84,22
2023,2.466666666666667,3,B,142,34
2018,4.366666666666666,4,A,101,39
2020,7.833333333333333,7,B,182,39
2024,11.266666666666667,6,D,66,12
2020,12.866666666666667,7,B,131,39
2018,12.7,6,C,84,14
2021,4.266666666666667,5,D,55,9
2020,7.9,2,C,85,24
2023,4.9,5,C,94,31
2024,1.4666666666666668,1,C,108,42
2019,9.7,7,A,120,31
2021,7.033333333333333,5,D,88,14
2023,10.666666666666666,6,A,114,41
2022,8.566666666666666,4,A,140,37
2020,5.066666666666666,7,B,135,35
2024,9.833333333333334,4,C,106,27
2018,3.8333333333333335,1,C,90,32
2024,10.766666666666666,4,A,125,34
2019,1.0333333333333334,3,B,167,37
2023,10.1,3,D,70,10
2021,8.5,1,D,89,12
2024,4.766666666666667,3,B,158,43
2023,11.133333333333333,7,B,164,41
2018,10.7,1,C,104,32
2024,11.4,3,A,137,42
2024,2.7666666666666666,6,D,74,12
2023,12.066666666666666,7,B,182,45
2019,8.433333333333334,3,B,165,42
2020,2.6,3,B,145,41
2023,6.466666666666667,4,D,60,7
2022,5.9,6,D,83,15
2022,7.433333333333334,4,C,125,34
2019,9.633333333333333,5,B,169,38
2018,12.733333333333333,7,D,65,8
2024,9.966666666666667,1,C,102,36
2020,8.8,2,C,87,24
2024,10.966666666666667,3,A,118,45
2025,7.766666666666667,4,A,150,59
2022,1.4666666666666668,6,D,80,12
2025,8.766666666666666,7,A,103,27
2025,8.466666666666667,5,B,175,43
2019,3.1333333333333333,2,B,154,47
2022,5.333333333333333,3,B,156,34
2021,8.6,4,D,72,14
2021,2.5,2,B,141,47
2023,11.333333333333334,6,D,62,10
2021,7.433333333333334,3,C,82,31
2019,8.133333333333333,1,A,151,42
2024,6.533333333333333,1,C,106,41
2022,10.8,2,C,92,27
2024,12.766666666666666,2,C,116,25
2021,8.733333333333333,1,C,113,44
2024,8.933333333333334,4,C,98,32
2021,10.1,1,B,225,49
2024,5.966666666666667,4,A,112,28
2024,10.9,1,A,128,47
2022,12.966666666666667,5,D,94,20
2019,5.5,4,B,168,41
2021,11.466666666666667,1,C,103,36
2022,8.966666666666667,2,D,59,6
2025,2.9,5,A,132,40
2019,4.233333333333333,1,A,142,55
2020,12.4,7,A,88,32
2020,8.966666666666667,7,B,155,37
2018,5.766666666666667,4,D,64,10
2025,2.4333333333333336,5,A,112,34
2025,1.1333333333333333,7,C,105,35
2024,7.466666666666667,1,A,150,46
2023,10.733333333333333,1,C,108,30
2025,6.766666666666667,2,C,102,37
2024,6.333333333333333,2,C,115,34
2022,7.366666666666666,2,C,84,29
2019,11.533333333333333,7,C,95,22
2024,8.566666666666666,7,C,99,25
2018,8.033333333333333,4,D,79,14
2022,6.633333333333333,1,D,97,20
2018,2.1333333333333333,1,D,86,19
2020,8.766666666666666,1,A,90,31
2023,8.133333333333333,6,A,106,32
2022,8.366666666666667,5,B,155,38
2020,10.666666666666666,3,B,165,52
2018,11.466666666666667,4,C,94,26
2020,5.833333333333333,2,B,131,47
2024,9.333333333333334,3,B,178,54
2018,4.4,5,C,66,21
2020,4.933333333333334,3,D,38,7
2018,6.3,7,A,139,36
2022,5.6,4,D,77,13
2024,10.133333333333333,6,B,185,44
2024,8.433333333333334,3,A,125,40
2023,1.7666666666666666,2,D,65,14
2023,11.733333333333333,4,A,113,38
2018,10.366666666666667,5,B,144,40
2024,2.8,7,D,76,10
2025,8.666666666666666,4,D,85,15
2022,3.7333333333333334,3,A,118,36
2019,10.433333333333334,1,C,112,33
2020,10.866666666666667,2,A,94,43
2020,2.533333333333333,1,B,170,41
2020,5.866666666666667,3,D,60,15
2022,6.2,2,B,157,45
2019,9.5,1,A,134,42
2024,8.933333333333334,4,B,168,60
2021,2.1,4,A,95,31
2023,5.6,5,A,142,47
2021,8.7,7,B,164,42
2023,11.433333333333334,2,B,184,50
2020,5.866666666666667,3,A,95,31
2021,1.6333333333333333,3,A,113,39
2020,8.266666666666667,7,A,115,34
2023,6.433333333333334,3,D,79,16
2018,9.1,2,A,111,34
2020,10.733333333333333,5,D,54,9
2020,2.3,1,D,96,20
2022,5.633333333333333,5,D,84,13
2023,1.7,7,D,69,10
2018,6.933333333333334,5,A,120,43
2024,1.5666666666666667,4,D,64,10
2023,8.7,2,C,98,31
2019,6.333333333333333,2,C,89,24
2022,6.0,3,B,154,45
2021,1.1,1,C,92,32
2018,4.7,7,A,107,26
2025,3.966666666666667,7,C,118,45
2021,11.566666666666666,4,C,94,30
2021,7.733333333333333,5,D,78,13
2018,8.733333333333333,4,C,87,32
2019,4.7,1,D,89,14
2019,2.466666666666667,5,B,169,45
2021,6.733333333333333,3,D,79,18
2024,6.1,2,D,75,10
2023,7.966666666666667,7,C,122,39
2023,9.0,4,D,98,18
2019,8.266666666666667,5,C,84,23
2018,10.166666666666666,6,B,179,46
2025,4.1,5,C,101,40
2025,4.966666666666667,3,A,140,50
2024,10.7,2,B,168,46
2025,2.033333333333333,7,C,98,29
2022,7.366666666666666,2,D,82,17
2018,3.6333333333333333,2,A,127,39
2024,1.8666666666666667,6,D,74,10
2021,12.033333333333333,4,A,129,43
2024,1.6666666666666665,7,B,168,47
2020,9.133333333333333,6,A,104,30
2022,6.333333333333333,6,C,96,26
2019,9.066666666666666,2,D,82,13
2020,12.4,7,B,135,42
2019,11.833333333333334,2,C,83,30
2022,8.5,2,C,111,30
2018,8.8,6,B,188,31
2022,5.666666666666667,6,D,54,6
2023,11.533333333333333,5,D,74,15
2025,1.2333333333333334,3,A,140,54
2020,1.7333333333333334,4,A,146,44
2024,12.1,3,C,94,35
2020,6.1,4,A,101,31
2024,11.933333333333334,5,B,156,43
2022,2.5666666666666664,5,D,62,7
2018,8.266666666666667,4,C,89,25
2023,9.533333333333333,7,C,96,30
2020,8.633333333333333,4,B,146,46
2020,11.966666666666667,1,B,170,45
2022,1.7,6,D,53,9
2020,12.133333333333333,6,C,76,34
2018,9.433333333333334,5,C,85,26
2019,5.0,3,C,72,20
2024,11.966666666666667,6,C,110,32
2020,6.6,5,B,145,43
2020,4.2,2,A,90,32
2023,12.2,4,A,122,37
2020,9.966666666666667,3,D,64,14
2018,11.0,4,C,87,23
2022,10.2,5,D,63,9
2021,9.2,2,A,140,49
2024,9.5,1,A,140,47
2024,12.5,1,B,198,52
2019,3.6,2,B,151,41
2022,12.5,5,D,85,15
2025,2.8666666666666667,4,A,125,36
2019,10.0,2,C,89,22
2025,2.066666666666667,1,D,75,14
2022,12.033333333333333,5,A,122,35
2019,1.9666666666666668,3,A,93,24
2024,12.633333333333333,5,B,147,39
2019,2.8333333333333335,2,A,102,35
2020,6.566666666666666,4,B,144,37
2018,12.766666666666666,1,A,122,33
2022,10.0,6,B,181,52
2023,1.8333333333333335,4,D,67,8
2019,9.1,3,C,91,30
2021,3.533333333333333,3,C,67,21
2021,9.133333333333333,7,C,90,26
2023,5.3,3,D,72,9
2018,2.9,3,C,64,17
2025,3.7,6,B,178,45
2020,4.433333333333334,2,B,109,33
2020,8.033333333333333,7,A,102,32
2022,11.9,1,D,107,15
2021,1.0,5,C,95,31
2021,9.766666666666666,5,A,111,32
2023,4.7,6,C,99,29
2020,12.433333333333334,1,D,55,12
2023,7.833333333333333,3,A,118,47
2025,3.7,6,A,109,29
2018,11.333333333333334,7,B,174,41
2023,1.4666666666666668,7,A,111,28
2023,9.5,6,A,126,47
2021,5.766666666666667,1,C,88,24
2018,9.433333333333334,5,D,94,18
2024,10.766666666666666,4,C,98,31
2019,7.433333333333334,7,B,181,44
2025,4.066666666666666,4,B,156,39
2024,8.533333333333333,6,A,126,46
2022,9.933333333333334,4,D,75,11
2024,9.566666666666666,3,A,132,40
2019,1.0666666666666667,4,D,71,17
2024,3.2,4,C,105,34
2023,10.066666666666666,2,A,132,33
2020,12.933333333333334,2,B,115,32
2023,8.733333333333333,3,A,123,40
2019,2.6,2,D,59,17
2020,9.2,1,C,94,24
2020,11.833333333333334,4,A,99,29
2022,1.7,6,A,119,32
2019,9.066666666666666,2,B,158,42
2024,5.833333333333333,7,A,114,33
2018,8.433333333333334,2,C,92,33
2022,9.7,4,B,173,41
2021,10.333333333333334,1,D,88,9
2020,12.0,2,A,79,22
2019,2.4333333333333336,4,B,153,37
2022,8.0,1,D,88,11
2024,7.033333333333333,2,D,65,8
2024,10.666666666666666,1,D,90,14
2024,10.166666666666666,7,D,57,8
2023,11.066666666666666,5,C,100,28
